,Site,Grainsize,Perm_Population,Por_Population,Perm_measure1,Perm_measure2,Perm_measure3,Perm_measure4,Perm_measure5,Por_measure1,Por_measure2,Por_measure3,Por_measure4
21,FD06,S,,15.0,,,,,,12.0,17.0,14.0,
22,FD07,S,82.0,15.0,79.0,87.0,,,,13.0,15.0,,
23,FD02,S,4.0,15.0,3.0,4.0,,,,14.0,18.0,16.0,13.0
24,FD04,S,13.0,17.0,11.0,13.0,15.0,14.0,,19.0,18.0,,
25,FD05,S,13.0,16.0,13.0,13.0,13.0,,,16.0,16.0,14.0,16.0
26,FD05,S,81.0,14.0,88.0,83.0,86.0,64.0,,14.0,11.0,18.0,14.0
27,FD07,S,104.0,14.0,131.0,100.0,120.0,,,11.0,11.0,10.0,15.0
28,FD05,S,35.0,14.0,39.0,34.0,32.0,32.0,,17.0,16.0,14.0,
29,FD04,S,22.0,13.0,20.0,23.0,23.0,,,14.0,12.0,,
30,FD05,S,74.0,15.0,91.0,83.0,72.0,,,13.0,14.0,12.0,14.0
31,FD07,S,44.0,19.0,44.0,41.0,39.0,,,23.0,18.0,18.0,18.0
32,FD02,S,60.0,16.0,41.0,50.0,70.0,,,16.0,19.0,17.0,
33,FD05,S,37.0,18.0,35.0,31.0,36.0,,,17.0,16.0,17.0,18.0
34,FD05,S,15.0,15.0,15.0,14.0,15.0,16.0,,13.0,15.0,14.0,14.0
35,FD05,S,25.0,17.0,23.0,27.0,25.0,,,16.0,19.0,17.0,15.0
36,FD07,S,3.0,15.0,3.0,3.0,3.0,3.0,,17.0,16.0,14.0,16.0
37,FD05,S,2.0,20.0,2.0,2.0,2.0,2.0,,20.0,20.0,,
38,FD06,S,6.0,13.0,6.0,6.0,6.0,6.0,,14.0,12.0,,
39,FD02,S,28.0,19.0,30.0,29.0,,,,17.0,19.0,21.0,20.0
40,FD02,S,30.0,11.0,30.0,31.0,29.0,33.0,32.0,9.0,10.0,11.0,
41,FD06,S,27.0,20.0,28.0,24.0,28.0,24.0,26.0,23.0,18.0,,
42,FD03,S,25.0,19.0,23.0,28.0,24.0,,,20.0,19.0,19.0,19.0
43,FD01,S,,19.0,,,,,,17.0,19.0,22.0,19.0
44,FD07,S,19.0,13.0,20.0,19.0,,,,13.0,14.0,11.0,
45,FD05,S,44.0,19.0,34.0,40.0,46.0,,,20.0,19.0,22.0,
46,FD07,S,8.0,15.0,8.0,10.0,8.0,8.0,,17.0,17.0,14.0,
47,FD04,S,165.0,13.0,148.0,159.0,176.0,202.0,,12.0,14.0,14.0,14.0
48,FD07,S,7.0,20.0,8.0,7.0,,,,20.0,20.0,23.0,22.0
49,FD07,S,39.0,13.0,52.0,41.0,37.0,,,13.0,13.0,12.0,11.0
50,FD01,S,30.0,18.0,29.0,34.0,31.0,27.0,33.0,19.0,18.0,,
51,FD07,S,4.0,13.0,3.0,4.0,3.0,,,13.0,13.0,13.0,13.0
52,FD04,S,4.0,14.0,3.0,4.0,4.0,,,14.0,13.0,14.0,14.0
53,FD05,S,27.0,15.0,26.0,33.0,26.0,25.0,,16.0,19.0,16.0,14.0
54,FD05,S,8.0,19.0,9.0,9.0,,,,18.0,22.0,19.0,20.0
55,FD06,S,6.0,17.0,6.0,6.0,6.0,,,18.0,13.0,,
56,FD01,S,,13.0,,,,,,12.0,13.0,12.0,
57,FD05,S,3.0,15.0,3.0,3.0,3.0,3.0,,17.0,15.0,15.0,16.0
58,FD03,S,14.0,19.0,15.0,13.0,14.0,,,18.0,21.0,17.0,
59,FD07,S,9.0,19.0,10.0,9.0,9.0,9.0,,23.0,19.0,22.0,17.0
60,FD05,S,22.0,19.0,20.0,19.0,24.0,,,19.0,19.0,20.0,
61,FD05,S,7.0,11.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,,
62,FD03,S,37.0,15.0,36.0,36.0,34.0,,,14.0,16.0,13.0,16.0
63,FD05,S,196.0,12.0,169.0,227.0,190.0,,,12.0,10.0,15.0,
64,FD02,S,2.0,17.0,2.0,2.0,2.0,,,16.0,18.0,17.0,
65,FD05,S,129.0,19.0,108.0,128.0,112.0,,,20.0,16.0,17.0,18.0
66,FD02,S,24.0,15.0,27.0,29.0,25.0,25.0,,14.0,13.0,16.0,13.0
67,FD02,S,92.0,11.0,96.0,100.0,86.0,98.0,116.0,10.0,12.0,,
68,FD05,S,22.0,15.0,22.0,21.0,20.0,25.0,23.0,16.0,15.0,13.0,14.0
69,FD06,S,68.0,17.0,69.0,63.0,74.0,,,20.0,14.0,,
70,FD05,S,7.0,15.0,8.0,8.0,8.0,,,16.0,15.0,13.0,17.0
71,FD05,S,13.0,16.0,12.0,12.0,12.0,13.0,,19.0,14.0,17.0,
72,FD03,S,63.0,15.0,69.0,58.0,73.0,65.0,,16.0,16.0,15.0,
73,FD05,S,58.0,17.0,52.0,56.0,,,,18.0,16.0,,
74,FD04,S,11.0,18.0,11.0,10.0,11.0,,,17.0,17.0,,
75,FD05,S,27.0,15.0,25.0,24.0,27.0,,,14.0,16.0,19.0,
76,FD05,S,32.0,24.0,34.0,31.0,31.0,30.0,,31.0,22.0,23.0,26.0
77,FD06,S,66.0,14.0,61.0,62.0,,,,15.0,14.0,15.0,
78,FD05,S,2.0,18.0,2.0,2.0,,,,16.0,17.0,,
79,FD05,S,2.0,15.0,2.0,2.0,2.0,2.0,,16.0,16.0,12.0,15.0
80,FD05,S,3.0,19.0,3.0,3.0,,,,18.0,20.0,,
81,FD07,S,6.0,14.0,6.0,6.0,7.0,,,13.0,12.0,,
82,FD07,S,6.0,15.0,5.0,6.0,6.0,6.0,,13.0,16.0,15.0,
83,FD06,S,90.0,13.0,87.0,92.0,98.0,75.0,,13.0,11.0,13.0,11.0
84,FD06,S,10.0,16.0,10.0,11.0,10.0,11.0,,16.0,18.0,,
85,FD01,S,91.0,20.0,81.0,96.0,86.0,,,19.0,18.0,23.0,
86,FD05,S,23.0,14.0,22.0,24.0,23.0,24.0,21.0,11.0,16.0,13.0,13.0
87,FD02,S,36.0,22.0,39.0,39.0,37.0,39.0,,21.0,26.0,25.0,23.0
88,FD07,S,14.0,16.0,15.0,15.0,15.0,16.0,,17.0,18.0,17.0,
89,FD05,S,72.0,12.0,74.0,68.0,72.0,,,12.0,10.0,13.0,
90,FD03,S,30.0,13.0,32.0,34.0,30.0,,,10.0,11.0,12.0,
91,FD03,S,98.0,13.0,110.0,95.0,84.0,,,13.0,13.0,13.0,
92,FD01,S,27.0,16.0,23.0,30.0,,,,17.0,15.0,16.0,
93,FD03,S,77.0,15.0,82.0,81.0,81.0,,,16.0,18.0,15.0,16.0
94,FD04,S,5.0,20.0,6.0,5.0,,,,23.0,20.0,17.0,
95,FD05,S,2.0,13.0,2.0,3.0,2.0,,,13.0,11.0,,
96,FD02,S,23.0,19.0,25.0,21.0,24.0,23.0,,19.0,16.0,18.0,
97,FD05,S,5.0,17.0,4.0,5.0,5.0,,,17.0,14.0,17.0,19.0
98,FD03,S,10.0,14.0,10.0,10.0,11.0,9.0,,14.0,14.0,14.0,12.0
99,FD04,S,22.0,15.0,20.0,23.0,21.0,24.0,,15.0,16.0,17.0,16.0
100,FD04,S,86.0,17.0,105.0,81.0,97.0,68.0,,18.0,15.0,17.0,18.0
101,FD04,S,6.0,14.0,7.0,6.0,7.0,,,15.0,13.0,,
102,FD05,S,28.0,12.0,31.0,33.0,28.0,26.0,,12.0,13.0,11.0,
103,FD03,S,19.0,12.0,17.0,18.0,20.0,,,12.0,10.0,10.0,12.0
104,FD05,S,7.0,14.0,6.0,8.0,7.0,,,15.0,15.0,14.0,14.0
105,FD05,S,13.0,18.0,14.0,13.0,12.0,,,15.0,18.0,19.0,19.0
106,FD01,S,10.0,13.0,9.0,9.0,11.0,,,12.0,12.0,15.0,14.0
107,FD04,S,7.0,22.0,7.0,7.0,,,,22.0,21.0,26.0,
108,FD04,S,4.0,16.0,4.0,4.0,4.0,4.0,,14.0,17.0,,
109,FD03,S,8.0,18.0,8.0,8.0,8.0,8.0,8.0,19.0,20.0,21.0,19.0
110,FD01,S,12.0,15.0,11.0,14.0,,,,15.0,18.0,,
111,FD04,S,38.0,23.0,39.0,33.0,,,,24.0,21.0,25.0,
112,FD05,S,5.0,20.0,4.0,5.0,4.0,,,20.0,20.0,20.0,24.0
113,FD03,S,14.0,13.0,12.0,13.0,,,,14.0,13.0,10.0,15.0
114,FD05,S,6.0,14.0,6.0,6.0,6.0,,,17.0,15.0,,
115,FD04,S,22.0,19.0,20.0,20.0,23.0,21.0,20.0,21.0,21.0,,
116,FD06,S,9.0,13.0,10.0,9.0,9.0,10.0,,13.0,14.0,14.0,13.0
117,FD07,S,21.0,15.0,21.0,20.0,20.0,,,14.0,15.0,18.0,17.0
118,FD02,S,4.0,16.0,4.0,4.0,5.0,4.0,4.0,14.0,16.0,13.0,
119,FD05,S,85.0,18.0,87.0,68.0,79.0,,,18.0,17.0,16.0,19.0
120,FD04,S,14.0,16.0,13.0,13.0,14.0,15.0,,16.0,16.0,18.0,
121,FD07,S,193.0,14.0,198.0,171.0,189.0,,,13.0,16.0,14.0,
122,FD03,S,16.0,13.0,17.0,15.0,,,,14.0,12.0,,
123,FD04,S,61.0,18.0,63.0,57.0,,,,18.0,17.0,21.0,21.0
124,FD05,S,1.0,14.0,1.0,1.0,1.0,,,14.0,12.0,15.0,
125,FD05,S,33.0,15.0,34.0,31.0,39.0,37.0,,18.0,15.0,,
126,FD07,S,6.0,19.0,6.0,6.0,6.0,7.0,6.0,21.0,18.0,17.0,17.0
127,FD06,S,4.0,16.0,4.0,4.0,4.0,4.0,,17.0,17.0,,
128,FD05,S,2.0,15.0,2.0,2.0,,,,15.0,15.0,16.0,14.0
129,FD03,S,2.0,16.0,2.0,2.0,,,,15.0,13.0,17.0,
130,FD05,S,25.0,16.0,25.0,26.0,26.0,,,18.0,20.0,15.0,17.0
131,FD04,S,232.0,16.0,208.0,205.0,270.0,,,14.0,16.0,13.0,15.0
132,FD01,S,,13.0,,,,,,13.0,12.0,13.0,
133,FD03,S,3.0,12.0,3.0,3.0,3.0,,,10.0,10.0,12.0,12.0
134,FD04,S,9.0,16.0,8.0,9.0,10.0,,,18.0,18.0,17.0,17.0
135,FD06,S,4.0,19.0,4.0,4.0,4.0,,,20.0,18.0,,
136,FD01,S,1566.0,23.0,1676.0,1502.0,1278.0,,,19.0,22.0,21.0,
137,FD03,S,4.0,16.0,5.0,5.0,,,,16.0,15.0,15.0,15.0
138,FD05,S,6.0,8.0,7.0,6.0,,,,7.0,8.0,9.0,
139,FD05,S,7.0,19.0,7.0,7.0,7.0,,,16.0,22.0,23.0,
140,FD06,S,70.0,17.0,69.0,66.0,73.0,82.0,,18.0,15.0,15.0,
141,FD03,S,11.0,18.0,11.0,10.0,11.0,,,19.0,20.0,17.0,17.0
142,FD05,S,15.0,16.0,15.0,16.0,14.0,15.0,,16.0,18.0,17.0,17.0
143,FD03,S,20.0,20.0,21.0,17.0,19.0,19.0,,21.0,19.0,22.0,21.0
144,FD05,S,10.0,18.0,10.0,10.0,,,,17.0,15.0,16.0,
145,FD07,S,4.0,14.0,4.0,4.0,4.0,4.0,,14.0,14.0,15.0,13.0
146,FD05,S,,21.0,,,,,,17.0,19.0,21.0,21.0
147,FD03,S,38.0,14.0,36.0,41.0,38.0,,,15.0,14.0,13.0,14.0
148,FD05,S,6.0,12.0,5.0,5.0,6.0,6.0,,10.0,13.0,,
149,FD07,S,41.0,19.0,38.0,40.0,,,,20.0,21.0,19.0,18.0
150,FD03,S,10.0,18.0,10.0,8.0,10.0,11.0,,17.0,17.0,16.0,
151,FD05,S,6.0,13.0,5.0,5.0,,,,13.0,13.0,,
152,FD05,S,217.0,18.0,235.0,223.0,243.0,,,19.0,17.0,18.0,19.0
153,FD05,S,5.0,18.0,5.0,5.0,5.0,,,18.0,16.0,,
154,FD03,S,1.0,21.0,1.0,1.0,1.0,1.0,,23.0,20.0,20.0,20.0
155,FD05,S,31.0,17.0,29.0,30.0,30.0,,,18.0,18.0,,
156,FD01,S,15.0,16.0,17.0,12.0,,,,19.0,14.0,,
157,FD05,S,16.0,13.0,13.0,19.0,17.0,,,16.0,13.0,,
158,FD01,S,84.0,20.0,83.0,96.0,,,,23.0,20.0,20.0,
159,FD05,S,62.0,13.0,62.0,62.0,45.0,54.0,,15.0,12.0,,
160,FD06,S,34.0,18.0,30.0,36.0,46.0,,,17.0,18.0,16.0,17.0
161,FD05,S,41.0,18.0,47.0,39.0,43.0,,,16.0,19.0,20.0,
162,FD02,S,9.0,17.0,9.0,10.0,10.0,,,17.0,16.0,17.0,
163,FD02,S,149.0,18.0,154.0,137.0,140.0,158.0,,14.0,20.0,,
164,FD04,S,13.0,20.0,14.0,12.0,,,,19.0,23.0,21.0,20.0
165,FD02,S,22.0,16.0,19.0,22.0,,,,19.0,17.0,,
166,FD05,S,,16.0,,,,,,17.0,15.0,14.0,16.0
167,FD01,S,21.0,16.0,18.0,20.0,24.0,19.0,21.0,14.0,18.0,13.0,
168,FD07,S,41.0,18.0,46.0,34.0,34.0,40.0,,19.0,17.0,21.0,
169,FD01,S,5.0,16.0,5.0,5.0,5.0,5.0,,18.0,14.0,16.0,14.0
170,FD05,S,19.0,16.0,21.0,21.0,17.0,,,16.0,17.0,17.0,15.0
171,FD03,S,18.0,20.0,18.0,16.0,18.0,,,23.0,21.0,20.0,21.0
172,FD03,S,1.0,11.0,1.0,1.0,1.0,1.0,,13.0,10.0,12.0,
173,FD05,S,4.0,16.0,4.0,5.0,4.0,4.0,,16.0,16.0,15.0,15.0
174,FD04,S,111.0,15.0,81.0,89.0,,,,17.0,15.0,15.0,16.0
175,FD04,S,43.0,16.0,47.0,50.0,39.0,,,16.0,17.0,15.0,17.0
176,FD06,S,22.0,15.0,22.0,19.0,25.0,,,14.0,14.0,14.0,
177,FD06,S,30.0,19.0,31.0,36.0,33.0,30.0,,20.0,17.0,22.0,21.0
178,FD03,S,34.0,21.0,38.0,29.0,,,,22.0,22.0,23.0,20.0
179,FD01,S,19.0,13.0,20.0,19.0,19.0,,,14.0,13.0,16.0,
180,FD06,S,27.0,19.0,27.0,29.0,25.0,32.0,,17.0,20.0,19.0,
181,FD05,S,55.0,16.0,55.0,50.0,51.0,,,13.0,16.0,19.0,
182,FD07,S,5.0,18.0,4.0,4.0,5.0,,,20.0,17.0,18.0,18.0
183,FD03,S,12.0,18.0,11.0,12.0,11.0,,,19.0,16.0,,
184,FD06,S,18.0,11.0,19.0,19.0,16.0,,,11.0,13.0,11.0,11.0
185,FD03,S,18.0,18.0,18.0,19.0,,,,18.0,20.0,,
186,FD01,S,201.0,14.0,174.0,220.0,167.0,211.0,,14.0,13.0,13.0,
187,FD05,S,7.0,15.0,7.0,7.0,7.0,,,18.0,14.0,14.0,15.0
188,FD05,S,27.0,19.0,28.0,29.0,,,,23.0,19.0,17.0,
189,FD06,S,137.0,19.0,143.0,120.0,169.0,,,17.0,17.0,13.0,
190,FD05,S,7.0,10.0,7.0,7.0,8.0,,,10.0,11.0,10.0,11.0
191,FD04,S,1.0,23.0,1.0,1.0,1.0,1.0,,24.0,18.0,27.0,
192,FD05,S,8.0,15.0,8.0,8.0,9.0,8.0,,17.0,15.0,,
193,FD05,S,2.0,19.0,2.0,2.0,2.0,2.0,2.0,21.0,18.0,19.0,
194,FD05,S,23.0,20.0,25.0,21.0,23.0,,,19.0,22.0,,
195,FD04,S,5.0,19.0,6.0,6.0,6.0,5.0,,18.0,21.0,15.0,20.0
196,FD05,S,20.0,18.0,18.0,21.0,17.0,20.0,,17.0,16.0,20.0,15.0
197,FD04,S,13.0,14.0,12.0,13.0,14.0,,,13.0,15.0,14.0,14.0
198,FD03,S,11.0,16.0,11.0,9.0,11.0,,,17.0,14.0,16.0,16.0
199,FD07,S,0.0,13.0,0.0,0.0,0.0,0.0,,14.0,13.0,12.0,13.0
200,FD02,S,7.0,13.0,7.0,6.0,,,,15.0,13.0,15.0,14.0
201,FD03,S,51.0,17.0,61.0,49.0,55.0,,,16.0,18.0,14.0,20.0
202,FD05,S,5.0,14.0,5.0,5.0,5.0,,,14.0,13.0,,
203,FD05,S,65.0,19.0,63.0,54.0,75.0,,,16.0,18.0,21.0,20.0
204,FD01,S,22.0,19.0,22.0,22.0,23.0,,,19.0,22.0,,
205,FD04,S,18.0,15.0,18.0,20.0,18.0,,,18.0,18.0,16.0,15.0
206,FD05,S,11.0,15.0,10.0,10.0,10.0,10.0,10.0,15.0,16.0,18.0,14.0
207,FD06,S,4.0,17.0,4.0,4.0,4.0,4.0,,19.0,16.0,,
208,FD03,S,1.0,19.0,1.0,1.0,1.0,,,19.0,18.0,18.0,18.0
209,FD06,S,190.0,20.0,201.0,179.0,,,,19.0,21.0,17.0,
210,FD05,S,25.0,17.0,28.0,23.0,23.0,24.0,,16.0,16.0,,
211,FD06,S,13.0,15.0,12.0,13.0,13.0,,,16.0,13.0,17.0,13.0
212,FD01,S,33.0,18.0,40.0,33.0,25.0,32.0,,17.0,19.0,18.0,17.0
213,FD06,S,42.0,19.0,45.0,43.0,,,,16.0,19.0,21.0,
214,FD04,S,6.0,22.0,5.0,6.0,6.0,,,21.0,22.0,23.0,21.0
215,FD07,S,17.0,10.0,19.0,15.0,16.0,,,9.0,10.0,10.0,8.0
216,FD04,S,7.0,16.0,7.0,7.0,8.0,,,16.0,17.0,,
217,FD05,S,45.0,16.0,40.0,44.0,52.0,46.0,,16.0,14.0,16.0,17.0
218,FD05,S,1.0,17.0,1.0,1.0,1.0,1.0,1.0,19.0,19.0,19.0,21.0
219,FD06,S,13.0,16.0,15.0,13.0,12.0,13.0,12.0,18.0,16.0,15.0,15.0
220,FD05,S,50.0,15.0,50.0,53.0,55.0,46.0,,16.0,15.0,16.0,
221,FD04,S,231.0,15.0,246.0,206.0,,,,16.0,15.0,15.0,
222,FD03,S,,14.0,,,,,,14.0,13.0,16.0,15.0
223,FD05,S,16.0,14.0,16.0,16.0,,,,12.0,15.0,13.0,15.0
224,FD07,S,63.0,15.0,63.0,68.0,59.0,65.0,69.0,16.0,15.0,,
225,FD05,S,83.0,20.0,81.0,94.0,60.0,73.0,,21.0,22.0,19.0,
226,FD05,S,71.0,19.0,65.0,69.0,92.0,,,19.0,19.0,21.0,17.0
227,FD05,S,9.0,15.0,8.0,8.0,,,,17.0,16.0,16.0,14.0
228,FD06,S,10.0,17.0,8.0,9.0,10.0,,,17.0,16.0,16.0,18.0
229,FD03,S,1197.0,16.0,1555.0,1062.0,1212.0,,,16.0,16.0,,
230,FD07,S,44.0,19.0,46.0,51.0,48.0,35.0,,22.0,19.0,,
231,FD05,S,86.0,15.0,95.0,94.0,78.0,,,14.0,14.0,16.0,17.0
232,FD04,S,5.0,13.0,5.0,5.0,5.0,,,13.0,12.0,12.0,11.0
233,FD06,S,4.0,14.0,4.0,5.0,4.0,4.0,,12.0,14.0,14.0,12.0
234,FD03,S,22.0,16.0,19.0,24.0,26.0,,,19.0,15.0,17.0,15.0
235,FD04,S,1.0,17.0,1.0,1.0,1.0,,,17.0,15.0,16.0,16.0
236,FD01,S,2.0,13.0,2.0,2.0,2.0,,,11.0,12.0,11.0,13.0
237,FD05,S,,14.0,,,,,,13.0,16.0,14.0,16.0
238,FD02,S,20.0,18.0,17.0,17.0,20.0,,,22.0,17.0,16.0,15.0
239,FD05,S,26.0,18.0,26.0,24.0,25.0,,,17.0,17.0,18.0,17.0
240,FD05,S,4.0,18.0,4.0,4.0,4.0,,,19.0,17.0,20.0,
241,FD04,S,20.0,18.0,19.0,20.0,22.0,17.0,,15.0,16.0,,
242,FD05,S,4.0,15.0,5.0,4.0,4.0,,,15.0,14.0,13.0,17.0
243,FD05,S,16.0,13.0,17.0,16.0,16.0,,,14.0,13.0,14.0,14.0
244,FD05,S,6.0,17.0,6.0,5.0,,,,14.0,14.0,,
245,FD05,S,20.0,18.0,20.0,23.0,20.0,18.0,,20.0,18.0,17.0,19.0
246,FD04,S,18.0,19.0,17.0,18.0,19.0,,,21.0,19.0,17.0,18.0
247,FD06,S,112.0,12.0,136.0,133.0,119.0,105.0,,12.0,12.0,14.0,11.0
248,FD04,S,75.0,13.0,68.0,90.0,,,,13.0,12.0,,
249,FD05,S,39.0,15.0,47.0,39.0,,,,15.0,15.0,,
250,FD05,S,29.0,17.0,32.0,29.0,35.0,29.0,,18.0,20.0,17.0,21.0
251,FD07,S,76.0,15.0,53.0,75.0,81.0,,,13.0,16.0,,
252,FD04,S,11.0,20.0,11.0,12.0,10.0,,,20.0,21.0,24.0,16.0
253,FD05,S,11.0,18.0,10.0,10.0,,,,19.0,15.0,17.0,
254,FD04,S,117.0,20.0,137.0,111.0,127.0,,,19.0,22.0,20.0,20.0
255,FD07,S,53.0,14.0,51.0,53.0,48.0,,,13.0,13.0,,
256,FD05,S,6.0,14.0,7.0,6.0,6.0,,,15.0,14.0,14.0,16.0
257,FD04,S,220.0,17.0,176.0,176.0,185.0,,,16.0,17.0,17.0,
258,FD06,S,13.0,17.0,13.0,13.0,12.0,,,16.0,14.0,16.0,17.0
259,FD05,S,8.0,12.0,8.0,9.0,8.0,,,9.0,11.0,12.0,13.0
260,FD05,S,3.0,14.0,3.0,3.0,3.0,,,13.0,16.0,12.0,
261,FD06,S,9.0,13.0,8.0,9.0,,,,11.0,13.0,12.0,12.0
262,FD07,S,2.0,15.0,2.0,2.0,2.0,,,15.0,16.0,16.0,16.0
263,FD03,S,17.0,16.0,16.0,14.0,17.0,,,14.0,18.0,15.0,17.0
264,FD04,S,209.0,16.0,285.0,245.0,179.0,,,17.0,15.0,16.0,16.0
265,FD03,S,171.0,14.0,186.0,177.0,188.0,,,14.0,13.0,11.0,15.0
266,FD05,S,46.0,14.0,55.0,43.0,41.0,43.0,,12.0,13.0,,
267,FD04,S,3.0,12.0,3.0,3.0,3.0,,,12.0,11.0,,
268,FD05,S,52.0,17.0,60.0,56.0,,,,15.0,16.0,14.0,18.0
269,FD03,S,20.0,22.0,20.0,18.0,18.0,,,21.0,25.0,22.0,
270,FD05,S,16.0,18.0,18.0,17.0,,,,18.0,19.0,19.0,
271,FD04,S,5.0,16.0,5.0,6.0,5.0,,,15.0,18.0,20.0,
272,FD05,S,59.0,13.0,48.0,54.0,62.0,60.0,,14.0,17.0,10.0,13.0
273,FD05,S,3.0,17.0,3.0,3.0,3.0,,,17.0,19.0,16.0,
274,FD04,S,14.0,16.0,16.0,12.0,14.0,13.0,16.0,13.0,16.0,12.0,
275,FD07,S,4.0,16.0,4.0,4.0,,,,16.0,18.0,14.0,
276,FD04,S,55.0,18.0,61.0,63.0,64.0,,,19.0,18.0,21.0,17.0
277,FD07,S,105.0,21.0,110.0,106.0,85.0,,,21.0,21.0,22.0,
278,FD05,S,178.0,18.0,136.0,135.0,158.0,169.0,,19.0,15.0,,
279,FD05,S,23.0,17.0,21.0,24.0,,,,21.0,16.0,,
280,FD04,S,0.0,15.0,0.0,0.0,,,,14.0,15.0,,
281,FD02,S,45.0,16.0,51.0,49.0,47.0,54.0,,17.0,17.0,16.0,13.0
282,FD03,S,19.0,,19.0,19.0,18.0,23.0,,,,,
283,FD05,S,19.0,,23.0,17.0,22.0,,,,,,
284,FD05,S,1.0,14.0,1.0,1.0,1.0,1.0,1.0,11.0,17.0,16.0,
285,FD07,S,44.0,13.0,49.0,40.0,43.0,44.0,43.0,14.0,14.0,15.0,12.0
286,FD04,S,8.0,16.0,9.0,8.0,8.0,,,19.0,18.0,,
287,FD05,S,18.0,15.0,19.0,19.0,,,,17.0,16.0,16.0,14.0
288,FD05,S,96.0,16.0,95.0,74.0,116.0,91.0,127.0,17.0,16.0,17.0,
289,FD07,S,5.0,21.0,5.0,5.0,,,,25.0,19.0,,
290,FD06,S,6.0,16.0,6.0,6.0,6.0,6.0,,17.0,18.0,17.0,15.0
291,FD02,S,4.0,16.0,4.0,4.0,4.0,,,15.0,16.0,17.0,14.0
292,FD02,S,16.0,13.0,15.0,17.0,18.0,,,11.0,11.0,,
293,FD04,S,58.0,13.0,52.0,50.0,55.0,,,12.0,13.0,10.0,13.0
294,FD05,S,51.0,13.0,51.0,42.0,42.0,50.0,,12.0,15.0,13.0,15.0
295,FD04,S,5.0,14.0,5.0,5.0,5.0,,,14.0,13.0,16.0,15.0
296,FD02,S,12.0,20.0,12.0,11.0,12.0,11.0,12.0,15.0,26.0,20.0,18.0
297,FD04,S,173.0,13.0,203.0,197.0,,,,14.0,13.0,,
298,FD05,S,7.0,18.0,7.0,7.0,8.0,6.0,,22.0,19.0,,
299,FD01,S,20.0,18.0,17.0,19.0,18.0,,,18.0,17.0,17.0,
300,FD04,S,1.0,14.0,1.0,1.0,1.0,1.0,,12.0,13.0,14.0,14.0
301,FD05,S,131.0,13.0,100.0,119.0,154.0,,,13.0,13.0,15.0,13.0
302,FD04,S,6.0,21.0,6.0,6.0,6.0,,,20.0,22.0,18.0,19.0
303,FD04,S,68.0,17.0,66.0,77.0,72.0,,,14.0,15.0,17.0,
304,FD04,S,4.0,16.0,4.0,4.0,,,,14.0,18.0,,
305,FD03,S,20.0,18.0,22.0,20.0,21.0,23.0,,21.0,19.0,,
306,FD05,S,100.0,,108.0,112.0,,,,,,,
307,FD05,S,436.0,14.0,454.0,414.0,395.0,327.0,,13.0,13.0,,
308,FD07,S,166.0,15.0,144.0,173.0,,,,13.0,18.0,,
309,FD03,S,21.0,13.0,18.0,16.0,24.0,,,16.0,13.0,15.0,16.0
310,FD07,S,35.0,18.0,37.0,37.0,39.0,38.0,,17.0,20.0,16.0,19.0
311,FD05,S,16.0,11.0,17.0,16.0,16.0,16.0,,13.0,10.0,10.0,9.0
312,FD05,S,20.0,21.0,19.0,19.0,21.0,,,17.0,19.0,22.0,20.0
